Step,Time (s),Total Comput. Time (s),Err,ODE (gas-phase) Comput. Time (s),Err,MC (particle) Comput. Time (s),Err
203,0.000203,2.11599999999999,0,2.04999999999998,0,0.045,0
204,0.000204,2.12299999999999,0,2.05699999999998,0,0.045,0
205,0.000205,2.13099999999999,0,2.06399999999998,0,0.045,0
206,0.000206,2.13899999999999,0,2.06999999999998,0,0.046,0
207,0.000207,2.146,0,2.07599999999998,0,0.047,0
208,0.000208,2.153,0,2.08299999999998,0,0.047,0
209,0.000209,2.162,0,2.09099999999998,0,0.048,0
210,0.00021,2.169,0,2.09799999999998,0,0.048,0
211,0.000211,2.176,0,2.10499999999998,0,0.048,0
212,0.000212,2.183,0,2.11199999999998,0,0.048,0
213,0.000213,2.191,0,2.11999999999998,0,0.048,0
214,0.000214,2.198,0,2.12699999999998,0,0.048,0
215,0.000215,2.206,0,2.13499999999998,0,0.048,0
216,0.000216,2.213,0,2.14199999999998,0,0.048,0
217,0.000217,2.221,0,2.14999999999998,0,0.048,0
218,0.000218,2.229,0,2.15799999999998,0,0.048,0
219,0.000219,2.237,0,2.16599999999998,0,0.048,0
220,0.000219999999999999,2.245,0,2.17299999999998,0,0.048,0
221,0.000220999999999999,2.252,0,2.17999999999998,0,0.048,0
222,0.000221999999999999,2.26,0,2.18799999999998,0,0.048,0
223,0.000222999999999999,2.269,0,2.19699999999998,0,0.048,0
224,0.000223999999999999,2.277,0,2.20399999999998,0,0.049,0
225,0.000224999999999999,2.284,0,2.21099999999998,0,0.049,0
226,0.000225999999999999,2.291,0,2.21799999999998,0,0.049,0
227,0.000226999999999999,2.299,0,2.22599999999998,0,0.049,0
228,0.000227999999999999,2.306,0,2.23299999999998,0,0.049,0
229,0.000228999999999999,2.314,0,2.24099999999998,0,0.049,0
230,0.000229999999999999,2.321,0,2.24699999999998,0,0.05,0
231,0.000230999999999999,2.329,0,2.25499999999998,0,0.05,0
232,0.000231999999999999,2.336,0,2.26199999999998,0,0.05,0
233,0.000232999999999999,2.344,0,2.26899999999998,0,0.051,0
234,0.000233999999999999,2.352,0,2.27699999999998,0,0.051,0
235,0.000234999999999999,2.359,0,2.28399999999998,0,0.051,0
236,0.000235999999999999,2.366,0,2.29099999999998,0,0.051,0
237,0.000236999999999999,2.373,0,2.29799999999998,0,0.051,0
238,0.000237999999999999,2.38,0,2.30399999999998,0,0.052,0
239,0.000238999999999999,2.387,0,2.31099999999998,0,0.052,0
240,0.000239999999999999,2.395,0,2.31899999999998,0,0.052,0
241,0.000240999999999999,2.403,0,2.32599999999998,0,0.052,0
242,0.000241999999999999,2.41,0,2.33299999999998,0,0.052,0
243,0.000242999999999999,2.418,0,2.34099999999998,0,0.052,0
244,0.000243999999999999,2.425,0,2.34799999999998,0,0.052,0
245,0.000244999999999999,2.431,0,2.35399999999998,0,0.052,0
246,0.000245999999999999,2.439,0,2.36199999999998,0,0.052,0
247,0.000247,2.447,0,2.36999999999998,0,0.052,0
248,0.000248,2.454,0,2.37599999999998,0,0.053,0
249,0.000249,2.461,0,2.38299999999998,0,0.053,0
250,0.00025,2.468,0,2.38999999999998,0,0.053,0
251,0.000251,2.475,0,2.39699999999998,0,0.053,0
252,0.000252,2.483,0,2.40499999999998,0,0.053,0
253,0.000253,2.491,0,2.41299999999998,0,0.053,0
254,0.000254,2.499,0,2.42099999999998,0,0.053,0
255,0.000255,2.507,0,2.42799999999998,0,0.053,0
256,0.000256,2.516,0,2.43699999999998,0,0.053,0
257,0.000257,2.525,0,2.44599999999998,0,0.053,0
258,0.000258,2.532,0,2.45199999999998,0,0.053,0
259,0.000259,2.54,0,2.45899999999998,0,0.054,0
260,0.00026,2.547,0,2.46599999999998,0,0.054,0
261,0.000261,2.554,0,2.47299999999998,0,0.054,0
262,0.000262,2.562,0,2.48099999999998,0,0.054,0
263,0.000263,2.569,0,2.48799999999998,0,0.054,0
264,0.000264,2.576,0,2.49499999999998,0,0.054,0
265,0.000265,2.584,0,2.50299999999998,0,0.054,0
266,0.000266,2.592,0,2.51099999999998,0,0.054,0
267,0.000267,2.599,0,2.51799999999998,0,0.054,0
268,0.000268,2.608,0,2.52599999999998,0,0.054,0
269,0.000269,2.616,0,2.53399999999998,0,0.054,0
270,0.00027,2.623,0,2.53999999999998,0,0.055,0
271,0.000271,2.631,0,2.54699999999998,0,0.056,0
272,0.000272,2.639,0,2.55499999999998,0,0.056,0
273,0.000273,2.647,0,2.56199999999998,0,0.057,0
274,0.000274,2.654,0,2.56799999999998,0,0.057,0
275,0.000275,2.662,0,2.57499999999998,0,0.057,0
276,0.000276,2.669,0,2.58199999999998,0,0.057,0
277,0.000277,2.678,0,2.59099999999998,0,0.057,0
278,0.000278,2.687,0,2.59999999999998,0,0.057,0
279,0.000279,2.694,0,2.60699999999998,0,0.057,0
280,0.00028,2.702,0,2.61499999999998,0,0.057,0
281,0.000281,2.71,0,2.62299999999998,0,0.057,0
282,0.000282,2.717,0,2.62899999999998,0,0.057,0
283,0.000283,2.727,0,2.63899999999998,0,0.057,0
284,0.000284,2.734,0,2.64599999999998,0,0.057,0
285,0.000285,2.741,0,2.65299999999998,0,0.057,0
286,0.000286,2.749,0,2.65999999999998,0,0.058,0
287,0.000287,2.756,0,2.66699999999998,0,0.058,0
288,0.000288000000000001,2.763,0,2.67399999999998,0,0.058,0
289,0.000289000000000001,2.77,0,2.68099999999998,0,0.058,0
290,0.000290000000000001,2.779,0,2.68999999999998,0,0.058,0
291,0.000291000000000001,2.786,0,2.69699999999998,0,0.058,0
292,0.000292000000000001,2.793,0,2.70299999999998,0,0.059,0
293,0.000293000000000001,2.8,0,2.70999999999997,0,0.059,0
294,0.000294000000000001,2.807,0,2.71699999999997,0,0.059,0
295,0.000295000000000001,2.813,0,2.72299999999997,0,0.059,0
296,0.000296000000000001,2.826,0,2.73599999999997,0,0.059,0
297,0.000297000000000001,2.841,0,2.74999999999997,0,0.059,0
298,0.000298000000000001,2.848,0,2.75699999999997,0,0.059,0
299,0.000299000000000001,2.855,0,2.76299999999997,0,0.06,0
300,0.000300000000000001,2.862,0,2.76899999999997,0,0.06,0
301,0.000301000000000001,2.869,0,2.77599999999997,0,0.06,0
302,0.000302000000000001,2.876,0,2.78299999999997,0,0.06,0
303,0.000303000000000001,2.883,0,2.78999999999997,0,0.06,0
304,0.000304000000000001,2.889,0,2.79599999999997,0,0.06,0
305,0.000305000000000001,2.895,0,2.80199999999997,0,0.06,0
306,0.000306000000000001,2.901,0,2.80799999999997,0,0.06,0
307,0.000307000000000001,2.907,0,2.81399999999997,0,0.06,0
308,0.000308000000000001,2.913,0,2.81999999999997,0,0.06,0
309,0.000309000000000001,2.919,0,2.82599999999997,0,0.06,0
310,0.000310000000000001,2.924,0,2.82999999999997,0,0.061,0
311,0.000311000000000001,2.929,0,2.83499999999997,0,0.061,0
312,0.000312000000000001,2.934,0,2.83999999999997,0,0.061,0
313,0.000313000000000001,2.94,0,2.84599999999997,0,0.061,0
314,0.000314000000000001,2.946,0,2.85199999999997,0,0.061,0
315,0.000315000000000001,2.952,0,2.85799999999997,0,0.061,0
316,0.000316000000000001,2.958,0,2.86399999999997,0,0.061,0
317,0.000317000000000001,2.964,0,2.86999999999997,0,0.061,0
318,0.000318000000000001,2.97,0,2.87599999999997,0,0.061,0
319,0.000319000000000001,2.976,0,2.88199999999997,0,0.061,0
320,0.000320000000000001,2.982,0,2.88799999999997,0,0.061,0
321,0.000321000000000001,2.989,0,2.89499999999997,0,0.061,0
322,0.000322000000000001,2.995,0,2.90099999999997,0,0.061,0
323,0.000323000000000001,3.001,0,2.90599999999997,0,0.061,0
324,0.000324000000000001,3.007,0,2.91199999999997,0,0.061,0
325,0.000325000000000001,3.013,0,2.91799999999997,0,0.061,0
326,0.000326000000000001,3.019,0,2.92399999999997,0,0.061,0
327,0.000327000000000001,3.025,0,2.92999999999997,0,0.061,0
328,0.000328000000000001,3.03099999999999,0,2.93599999999997,0,0.061,0
329,0.000329000000000001,3.03599999999999,0,2.94099999999997,0,0.061,0
330,0.000330000000000002,3.04099999999999,0,2.94599999999997,0,0.061,0
331,0.000331000000000002,3.04599999999999,0,2.95099999999997,0,0.061,0
332,0.000332000000000002,3.05299999999999,0,2.95799999999997,0,0.061,0
333,0.000333000000000002,3.05999999999999,0,2.96499999999997,0,0.061,0
334,0.000334000000000002,3.06699999999999,0,2.97099999999997,0,0.062,0
335,0.000335000000000002,3.07299999999999,0,2.97699999999997,0,0.062,0
336,0.000336000000000002,3.07999999999999,0,2.98399999999997,0,0.062,0
337,0.000337000000000002,3.08699999999999,0,2.98999999999997,0,0.063,0
338,0.000338000000000002,3.09699999999999,0,2.99999999999997,0,0.063,0
339,0.000339000000000002,3.10399999999999,0,3.00699999999997,0,0.063,0
340,0.000340000000000002,3.11299999999999,0,3.01599999999997,0,0.063,0
341,0.000341000000000002,3.11999999999999,0,3.02299999999997,0,0.063,0
342,0.000342000000000002,3.12799999999999,0,3.03099999999997,0,0.063,0
343,0.000343000000000002,3.13699999999999,0,3.03899999999997,0,0.063,0
344,0.000344000000000002,3.14399999999999,0,3.04599999999997,0,0.063,0
345,0.000345000000000002,3.15099999999999,0,3.05299999999996,0,0.063,0
346,0.000346000000000002,3.15899999999999,0,3.06099999999996,0,0.063,0
347,0.000347000000000002,3.166,0,3.06799999999996,0,0.063,0
348,0.000348000000000002,3.173,0,3.07499999999996,0,0.063,0
349,0.000349000000000002,3.18,0,3.08199999999996,0,0.063,0
350,0.000350000000000002,3.187,0,3.08899999999996,0,0.063,0
351,0.000351000000000002,3.194,0,3.09599999999996,0,0.063,0
352,0.000352000000000002,3.202,0,3.10299999999996,0,0.064,0
353,0.000353000000000002,3.21,0,3.10999999999996,0,0.064,0
354,0.000354000000000002,3.218,0,3.11799999999996,0,0.064,0
355,0.000355000000000002,3.227,0,3.12699999999996,0,0.064,0
356,0.000356000000000002,3.234,0,3.13299999999996,0,0.064,0
357,0.000357000000000002,3.242,0,3.13999999999996,0,0.065,0
358,0.000358000000000002,3.249,0,3.14699999999996,0,0.065,0
359,0.000359000000000002,3.257,0,3.15499999999996,0,0.065,0
360,0.000360000000000002,3.264,0,3.16199999999996,0,0.065,0
361,0.000361000000000002,3.271,0,3.16899999999996,0,0.065,0
362,0.000362000000000002,3.279,0,3.17699999999996,0,0.065,0
363,0.000363000000000002,3.285,0,3.18299999999996,0,0.065,0
364,0.000364000000000002,3.292,0,3.18999999999996,0,0.065,0
365,0.000365000000000002,3.299,0,3.19599999999996,0,0.066,0
366,0.000366000000000002,3.307,0,3.20299999999996,0,0.066,0
367,0.000367000000000002,3.314,0,3.20999999999996,0,0.066,0
368,0.000368000000000002,3.322,0,3.21799999999996,0,0.066,0
369,0.000369000000000002,3.331,0,3.22699999999996,0,0.066,0
370,0.000370000000000002,3.339,0,3.23499999999996,0,0.066,0
371,0.000371000000000003,3.346,0,3.24199999999996,0,0.066,0
372,0.000372000000000003,3.354,0,3.24999999999996,0,0.066,0
373,0.000373000000000003,3.362,0,3.25799999999996,0,0.066,0
374,0.000374000000000003,3.37,0,3.26599999999996,0,0.066,0
375,0.000375000000000003,3.377,0,3.27299999999996,0,0.066,0
376,0.000376000000000003,3.385,0,3.28099999999996,0,0.066,0
377,0.000377000000000003,3.392,0,3.28799999999996,0,0.066,0
378,0.000378000000000003,3.399,0,3.29399999999996,0,0.067,0
379,0.000379000000000003,3.407,0,3.30199999999996,0,0.067,0
380,0.000380000000000003,3.415,0,3.30899999999996,0,0.068,0
381,0.000381000000000003,3.423,0,3.31699999999996,0,0.068,0
382,0.000382000000000003,3.431,0,3.32499999999996,0,0.068,0
383,0.000383000000000003,3.44,0,3.33399999999996,0,0.068,0
