Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
72,7.19999999999999e-05,1.00875495838518e-07,0,1.23911529316595e-05,0,3.69490433363826e-07,0,3.74921066815349e-06,0,9.01464098508567e-11,0,1.27057736403109e-14,0,0,0,2.16900273679146e-10,0,8.01811760210963e-06,0,1.19233897140306e-05,0,3274.53936282266,0,3.65525439045449e-05,0,995181.967150567,0
73,7.29999999999999e-05,9.87901385572207e-08,0,1.23828394080361e-05,0,3.59631189776506e-07,0,3.75712335548074e-06,0,8.70098148746668e-11,0,1.17972963976159e-14,0,0,0,2.04321083176421e-10,0,8.01793755785981e-06,0,1.19291031401445e-05,0,3275.15095671174,0,3.65457161325502e-05,0,995181.91168058,0
74,7.39999999999999e-05,9.68089654909881e-08,0,1.23750025848983e-05,0,3.50382269921484e-07,0,3.76458045708237e-06,0,8.41067766575995e-11,0,1.0988458689396e-14,0,0,0,1.9291785083183e-10,0,8.01776722286604e-06,0,1.19344727427601e-05,0,3275.72640815034,0,3.65392912786352e-05,0,995181.7804889,0
75,7.49999999999999e-05,9.49205253745029e-08,0,1.23675841688568e-05,0,3.41668275834316e-07,0,3.77164464006374e-06,0,8.14056878958855e-11,0,1.02632887467231e-14,0,0,0,1.82520317346117e-10,0,8.01760696140064e-06,0,1.19395426849619e-05,0,3276.27064064789,0,3.65332311927605e-05,0,995182.041466209,0
76,7.59999999999999e-05,9.31189820076209e-08,0,1.23605566967013e-05,0,3.33449213009139e-07,0,3.7783318321853e-06,0,7.88889195562966e-11,0,9.61131182546939e-15,0,0,0,1.73019172117786e-10,0,8.01745391905681e-06,0,1.19443316717555e-05,0,3276.78512229377,0,3.65274942324186e-05,0,995182.01561334,0
77,7.69999999999999e-05,9.13994923480766e-08,0,1.23538922037376e-05,0,3.25687182072808e-07,0,3.78467301916594e-06,0,7.65392002236097e-11,0,9.02313807032784e-15,0,0,0,1.64315496429597e-10,0,8.01730851097065e-06,0,1.1948861811434e-05,0,3277.27231452831,0,3.65220630834488e-05,0,995181.986989792,0
78,7.79999999999999e-05,8.97559517464017e-08,0,1.23475604824402e-05,0,3.18342029427872e-07,0,3.79069699799118e-06,0,7.43397876005782e-11,0,8.49045576780407e-15,0,0,0,1.56317418880089e-10,0,8.01717010897183e-06,0,1.19531553808022e-05,0,3277.73453402294,0,3.65169116170766e-05,0,995181.954316512,0
79,7.89999999999999e-05,8.8182312694656e-08,0,1.23415320150547e-05,0,3.11375295121047e-07,0,3.79643318885476e-06,0,7.2275085567525e-11,0,8.00600227383966e-15,0,0,0,1.48942496963805e-10,0,8.0170383840393e-06,0,1.19572342249071e-05,0,3278.17412052272,0,3.651201664626e-05,0,995182.00233017,0
80,7.99999999999999e-05,8.66736909477772e-08,0,1.23357841019678e-05,0,3.04756945227416e-07,0,3.8019014810046e-06,0,7.03331089211077e-11,0,7.56418033973593e-15,0,0,0,1.42126550949617e-10,0,8.01691247043993e-06,0,1.19611145601942e-05,0,3278.59268598922,0,3.65073557170057e-05,0,995182.013810105,0
81,8.09999999999999e-05,8.52255688575478e-08,0,1.23302949933304e-05,0,2.98458570731996e-07,0,3.80712296704835e-06,0,6.85024788564141e-11,0,7.15987043626895e-15,0,0,0,1.35809966300093e-10,0,8.0167919949048e-06,0,1.196481234927e-05,0,3278.99191202855,0,3.65029107637481e-05,0,995182.011492429,0
82,8.19999999999999e-05,8.38335052029558e-08,0,1.23250437364152e-05,0,2.92453341593561e-07,0,3.81211869494213e-06,0,6.67727722833136e-11,0,6.78867732265664e-15,0,0,0,1.29940267383212e-10,0,8.0166767638005e-06,0,1.19683429918302e-05,0,3279.37346620968,0,3.64986657536129e-05,0,995182.068568154,0
83,8.29999999999999e-05,8.24941748032233e-08,0,1.23200147730924e-05,0,2.86720764235861e-07,0,3.81690259536529e-06,0,6.51359023099753e-11,0,6.44704001329192e-15,0,0,0,1.24475044587879e-10,0,8.01656624526744e-06,0,1.1971717637187e-05,0,3279.73846672163,0,3.64946058073452e-05,0,995182.122360617,0
84,8.39999999999999e-05,8.12051640251555e-08,0,1.23151959295936e-05,0,2.81244363225528e-07,0,3.82148607458556e-06,0,6.35850342332545e-11,0,6.1318554394788e-15,0,0,0,1.19377388852449e-10,0,8.01646015131356e-06,0,1.19749453334855e-05,0,3280.08783823855,0,3.64907199847838e-05,0,995182.158416035,0
85,8.49999999999999e-05,7.99631700392655e-08,0,1.23105727674312e-05,0,2.760059094151e-07,0,3.8258826797782e-06,0,6.21135275979194e-11,0,5.84059654744102e-15,0,0,0,1.14615615662463e-10,0,8.01635814041729e-06,0,1.19780363638302e-05,0,3280.42265836056,0,3.64869957658951e-05,0,995182.165194739,0
86,8.59999999999999e-05,7.87651212780434e-08,0,1.23061310043409e-05,0,2.70987311954533e-07,0,3.8301066777456e-06,0,6.07145573537902e-11,0,5.57062094125242e-15,0,0,0,1.10156513616359e-10,0,8.01626004708809e-06,0,1.19810010951042e-05,0,3280.74404556332,0,3.6483422134153e-05,0,995182.184172087,0
87,8.69999999999999e-05,7.76086627055226e-08,0,1.2301860008724e-05,0,2.66174941606136e-07,0,3.8341679934655e-06,0,5.93830254912133e-11,0,5.31995044419269e-15,0,0,0,1.05975111696765e-10,0,8.01616560297026e-06,0,1.19838471400268e-05,0,3281.0527880758,0,3.64799897129553e-05,0,995182.201036106,0
88,8.79999999999998e-05,7.64915181644702e-08,0,1.22977494234119e-05,0,2.61555500378109e-07,0,3.83807642687201e-06,0,5.8113954744422e-11,0,5.08669461585594e-15,0,0,0,1.02047184270598e-10,0,8.01607457907874e-06,0,1.19865819651506e-05,0,3281.34966636035,0,3.64766895792815e-05,0,995182.211214989,0
89,8.89999999999998e-05,7.54114268638857e-08,0,1.2293789273927e-05,0,2.57116516237943e-07,0,3.84184160193244e-06,0,5.69028596029008e-11,0,4.8692576905476e-15,0,0,0,9.83518798995827e-11,0,8.01598678819948e-06,0,1.1989212676088e-05,0,3281.63543559219,0,3.64735135428575e-05,0,995182.222205785,0
90,8.99999999999998e-05,7.43664077731724e-08,0,1.22899707169192e-05,0,2.52846802734035e-07,0,3.84547196123448e-06,0,5.57456653028356e-11,0,4.66617857307191e-15,0,0,0,9.48699967260872e-11,0,8.01590204748389e-06,0,1.1991745600546e-05,0,3281.91076242083,0,3.6470454157019e-05,0,995182.234723251,0
91,9.09999999999998e-05,7.33545019054332e-08,0,1.22862852633671e-05,0,2.48735810683639e-07,0,3.84897563841533e-06,0,5.4638657529624e-11,0,4.47619958113057e-15,0,0,0,9.15846947842051e-11,0,8.01582018644335e-06,0,1.19941867527754e-05,0,3282.1762851928,0,3.64675043814188e-05,0,995182.251789212,0
92,9.19999999999998e-05,7.23740962502224e-08,0,1.22827256905655e-05,0,2.44774329032921e-07,0,3.85235939399146e-06,0,5.35784740077614e-11,0,4.29813160805375e-15,0,0,0,8.84800838029642e-11,0,8.015741025989e-06,0,1.19965412908066e-05,0,3282.43253894393,0,3.64646578894917e-05,0,995182.264402839,0
93,9.29999999999998e-05,7.142365714783e-08,0,1.22792854061024e-05,0,2.40954129251014e-07,0,3.85562944917529e-06,0,5.25622346857523e-11,0,4.13102182103618e-15,0,0,0,8.55431941811133e-11,0,8.01566441700399e-06,0,1.19988138840214e-05,0,3282.68001493493,0,3.64619090522619e-05,0,995182.269177914,0
94,9.39999999999998e-05,7.05020951966278e-08,0,1.22759593697073e-05,0,2.37268774139217e-07,0,3.8587907330674e-06,0,5.15875499003959e-11,0,3.97402316313355e-15,0,0,0,8.27626642743082e-11,0,8.01559028065631e-06,0,1.20010081887359e-05,0,3282.91910147945,0,3.6459253795691e-05,0,995182.273828413,0
95,9.49999999999998e-05,6.96072376667389e-08,0,1.22727389066126e-05,0,2.3370781669104e-07,0,3.86185118634093e-06,0,5.06510738379208e-11,0,3.82619689694642e-15,0,0,0,8.01249251173675e-11,0,8.01551836077661e-06,0,1.20031301416002e-05,0,3283.15041818159,0,3.64566844295133e-05,0,995182.257355032,0
96,9.59999999999998e-05,6.87386545400549e-08,0,1.22696213085307e-05,0,2.30267696706988e-07,0,3.86481417810729e-06,0,4.97512776689524e-11,0,3.68693744779315e-15,0,0,0,7.76220682615085e-11,0,8.01544876904543e-06,0,1.20051819157513e-05,0,3283.37422639241,0,3.64541998997146e-05,0,995182.271192051,0
