Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
88,0.0088,7.27522325828592e-12,0,1.5145934096169e-05,0,1.79008306918075e-09,0,4.7817125540776e-07,0,8.17981445276398e-11,0,1.82041201846777e-13,0,0,0,3.65786330139091e-13,0,0,0,1.81231810913121e-06,0,2756.68915685835,0,1.74383031649724e-05,0,399693.142078405,0
89,0.0089,7.36925325042578e-12,0,1.51361536361701e-05,0,1.80260691183802e-09,0,4.79767430130379e-07,0,8.18541364020529e-11,0,1.81624285866768e-13,0,0,0,3.68844233497538e-13,0,0,0,1.81534818532583e-06,0,2757.50217201161,0,1.74331616323963e-05,0,399693.140560801,0
90,0.009,7.43354411325806e-12,0,1.51263676107699e-05,0,1.80770103950361e-09,0,4.81375142976184e-07,0,8.15697427638207e-11,0,1.79702796776767e-13,0,0,0,3.68864556843209e-13,0,0,0,1.81838237198704e-06,0,2758.31528950179,0,1.74280223786269e-05,0,399693.136622929,0
91,0.0091,7.52773142844835e-12,0,1.51166464063044e-05,0,1.81995070765379e-09,0,4.82966191121201e-07,0,8.16103376673408e-11,0,1.79208412108379e-13,0,0,0,3.71750531938716e-13,0,0,0,1.82139748115215e-06,0,2759.12311047275,0,1.74229197183135e-05,0,399693.135408719,0
92,0.0092,7.61805783441312e-12,0,1.51068564664778e-05,0,1.83098215497359e-09,0,4.84574696919835e-07,0,8.1589503785277e-11,0,1.78480518289752e-13,0,0,0,3.74188880617691e-13,0,0,0,1.82443504221962e-06,0,2759.93617777845,0,1.74177869480032e-05,0,399693.134476844,0
93,0.0093,7.69909604106983e-12,0,1.50971100150793e-05,0,1.83967563757616e-09,0,4.86179037125404e-07,0,8.1463274115718e-11,0,1.7727967295868e-13,0,0,0,3.75638672169691e-13,0,0,0,1.82746148334924e-06,0,2760.74563492926,0,1.741267992648e-05,0,399693.132521434,0
94,0.0094,7.7918840114714e-12,0,1.50873354893468e-05,0,1.85094572613268e-09,0,4.87797244587234e-07,0,8.14482633492977e-11,0,1.76559825118373e-13,0,0,0,3.78107991421981e-13,0,0,0,1.83049512037972e-06,0,2761.55624306199,0,1.7407568594855e-05,0,399693.129446757,0
95,0.0095,7.83296614859207e-12,0,1.50776072792184e-05,0,1.8498651399006e-09,0,4.89411375785074e-07,0,8.08911256765741e-11,0,1.73522636038579e-13,0,0,0,3.75567685149046e-13,0,0,0,1.83352108753225e-06,0,2762.36390506801,0,1.74024788808578e-05,0,399693.127696878,0
96,0.0096,7.96230382331635e-12,0,1.50678844649134e-05,0,1.86948233125089e-09,0,4.9102405345451e-07,0,8.123834509545e-11,0,1.74381200935218e-13,0,0,0,3.814417091029e-13,0,0,0,1.83653873359693e-06,0,2763.16928708362,0,1.73974064907679e-05,0,399693.125792941,0
97,0.0097,8.04618582825353e-12,0,1.50581567899019e-05,0,1.87818255726402e-09,0,4.92643743470903e-07,0,8.11055773106078e-11,0,1.73177015829614e-13,0,0,0,3.82846893527575e-13,0,0,0,1.83956312719024e-06,0,2763.97554106097,0,1.73923315509074e-05,0,399693.123452682,0
98,0.0098,8.13541280983842e-12,0,1.50484174474243e-05,0,1.88795279831021e-09,0,4.94282934271332e-07,0,8.10172412792984e-11,0,1.72167790257343e-13,0,0,0,3.84696649145316e-13,0,0,0,1.84258770333996e-06,0,2764.78079055043,0,1.73872657473524e-05,0,399693.117879859,0
99,0.0099,8.24852440796596e-12,0,1.50386901845328e-05,0,1.90305581798701e-09,0,4.95897619948341e-07,0,8.11537040149097e-11,0,1.72121813653267e-13,0,0,0,3.88675723668367e-13,0,0,0,1.84561511812478e-06,0,2765.58717196467,0,1.73821959414498e-05,0,399693.116032173,0
100,0.01,8.37213821917538e-12,0,1.5028924496851e-05,0,1.92030117997886e-09,0,4.97533700084084e-07,0,8.13743545170596e-11,0,1.72426962770548e-13,0,0,0,3.9353489830809e-13,0,0,0,1.84865170250621e-06,0,2766.39494143665,0,1.73771205130759e-05,0,399693.117427826,0
