Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
39,3.9e-05,0,0,1.02063301881271e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08282190580138e-06,0,2.24701656465145e-06,0,2228.43962390075,0,2.15361686585799e-05,0,399028.569132597,0
40,4e-05,0,0,1.02063301881271e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08282190580138e-06,0,2.24701656465145e-06,0,2228.43962390075,0,2.15361686585799e-05,0,399028.569132597,0
41,4.1e-05,0,0,1.02063301881271e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08282190580138e-06,0,2.24701656465145e-06,0,2228.43962390075,0,2.15361686585799e-05,0,399028.569132597,0
42,4.2e-05,0,0,1.00376643577565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79793529122087e-06,0,2.47945813307132e-06,0,2250.6330030854,0,2.13150577820487e-05,0,398864.947982614,0
43,4.3e-05,0,0,9.86969168976814e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51179801539898e-06,0,2.71578734873837e-06,0,2272.91241638002,0,2.10972770539055e-05,0,398697.747781006,0
44,4.4e-05,0,0,9.86969168976814e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51179801539898e-06,0,2.71578734873837e-06,0,2272.91241638002,0,2.10972770539055e-05,0,398697.747781006,0
45,4.5e-05,0,0,9.86969168976814e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51179801539898e-06,0,2.71578734873837e-06,0,2272.91241638002,0,2.10972770539055e-05,0,398697.747781006,0
46,4.6e-05,0,0,9.86969168976814e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51179801539898e-06,0,2.71578734873837e-06,0,2272.91241638002,0,2.10972770539055e-05,0,398697.747781006,0
47,4.7e-05,0,0,9.70231328912968e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22421539114894e-06,0,2.95619579596152e-06,0,2295.28068859635,0,2.08827244762401e-05,0,398526.895757544,0
48,4.8e-05,0,0,9.61993277325281e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08101768487813e-06,0,3.0778301767494e-06,0,2306.51094256223,0,2.07787806348803e-05,0,398483.416821429,0
