Step,Time (s),Rxn 0 (mol/cm3s),Err,Rxn 1 (mol/cm3s),Err,Rxn 2 (mol/cm3s),Err,Rxn 3 (mol/cm3s),Err,Rxn 4 (mol/cm3s),Err,Rxn 5 (mol/cm3s),Err,Rxn 6 (mol/cm3s),Err,Rxn 7 (mol/cm3s),Err,Rxn 8 (mol/cm3s),Err,Rxn 9 (mol/cm3s),Err
58,5.79999999999999e-05,7415.04697141051,0,22757.1317378879,0,1845.40990352631,0,1614.50688177347,0,23961.5031527184,0,-0.158180074778784,0,-1298.17314837128,0,177.766942907108,0,-2.09847192405869,0,-1177.78837088123,0
59,5.89999999999999e-05,6533.08069175482,0,19582.3134920001,0,984.774017333984,0,1106.15199029446,0,20574.0019157186,0,-0.139991369134577,0,-1056.57043126225,0,147.671097520286,0,-1.69629818403337,0,-964.738269414753,0
60,5.99999999999999e-05,5814.87193778157,0,17112.280829668,0,30.6175127029419,0,798.428162157536,0,17928.967059536,0,-0.125582970276128,0,-882.761615663767,0,125.036286668695,0,-1.39965602624943,0,-802.563061978668,0
61,6.09999999999999e-05,5219.08763730526,0,15085.1930319965,0,-1009.04503250122,0,412.278017729521,0,15810.101748279,0,-0.11330048723994,0,-755.549381412566,0,107.497750396525,0,-1.18215290146327,0,-682.635132776573,0
62,6.19999999999999e-05,4738.79523158073,0,13469.6734355688,0,-801.284507751465,0,342.637889534235,0,14084.6553679517,0,-0.102978596851017,0,-639.676107618958,0,93.6320306263742,0,-0.999827731706318,0,-582.254648525268,0
63,6.29999999999999e-05,4343.75684794784,0,12154.6278840601,0,558.783356666565,0,591.009352952242,0,12653.7700742106,0,-0.0940584376862716,0,-531.197848252952,0,82.4335856473762,0,-0.835209770524671,0,-489.058158779517,0
64,6.39999999999999e-05,3974.39015054703,0,10989.1447009742,0,-634.457378387451,0,272.702842622995,0,11451.0111631832,0,-0.0866796287291436,0,-478.463611830026,0,73.2431812056466,0,-0.7383531464111,0,-433.474778190255,0
65,6.49999999999999e-05,3682.04157850146,0,10047.7990811467,0,343.704097747803,0,439.53199031949,0,10428.7419172903,0,-0.0800286041803702,0,-404.36277417466,0,65.6003667276164,0,-0.630716425383071,0,-372.925947053358,0
66,6.59999999999999e-05,3411.84110254049,0,9203.04692171514,0,-315.63022518158,0,176.338823080063,0,9552.03978821424,0,-0.0743673058655077,0,-367.020360920578,0,59.1755132071915,0,-0.569392258230437,0,-338.887890940532,0
67,6.69999999999999e-05,3176.41927818954,0,8481.45120443404,0,-151.075626373291,0,217.411499321461,0,8791.10451642901,0,-0.0692781405516598,0,-323.668206747621,0,53.7009929139073,0,-0.499980545831932,0,-298.143384465948,0
68,6.79999999999999e-05,2968.43477997184,0,7848.69326665998,0,-170.360459327698,0,180.784611448646,0,8126.15994810438,0,-0.064780988062239,0,-289.50979199633,0,48.9978365000086,0,-0.446552650337253,0,-267.362396860495,0
69,6.89999999999999e-05,2782.67160667479,0,7293.85705289245,0,87.5998573303223,0,255.806714475155,0,7540.49965837701,0,-0.0607202013461574,0,-255.855614293367,0,44.9205468657076,0,-0.393673419766856,0,-235.958113003522,0
70,6.99999999999999e-05,2618.89635391533,0,6801.98873361945,0,153.608187675476,0,215.574336707592,0,7021.65679405352,0,-0.0570921936975992,0,-229.792805815116,0,41.3613389279938,0,-0.355780597834382,0,-214.613045500591,0
71,7.09999999999999e-05,2466.46113753319,0,6357.95391280949,0,104.59982585907,0,205.324799284339,0,6559.78183346429,0,-0.0538319970621615,0,-208.858301278204,0,38.2364890999524,0,-0.321212484747775,0,-193.854828170501,0
72,7.19999999999999e-05,2327.83156093955,0,5958.76472914219,0,-42.5154075622559,0,158.114007458091,0,6146.10752278142,0,-0.0508986215511413,0,-192.352024750784,0,35.4738902028515,0,-0.293900527359256,0,-177.598961413838,0
73,7.29999999999999e-05,2205.93123042583,0,5606.03858396411,0,156.261093139648,0,191.102889865637,0,5773.95688009582,0,-0.0481729280143099,0,-172.625598207116,0,33.0186886131889,0,-0.264944112459489,0,-160.630367702805,0
74,7.39999999999999e-05,2075.91674132645,0,5259.26917524636,0,-858.356277942657,0,14.3041267544031,0,5437.76566678785,0,-0.0458824333616121,0,-171.476979402825,0,30.8262062559284,0,-0.253393246400265,0,-152.715926042758,0
75,7.49999999999999e-05,1987.03938429058,0,4986.75599603355,0,-15.9562668800354,0,129.875237032771,0,5132.23377596117,0,-0.0434809310324908,0,-147.828124372289,0,28.8550046372577,0,-0.224943301154781,0,-136.774450394325,0
76,7.59999999999999e-05,1895.73920892179,0,4725.63018110394,0,267.407195091248,0,173.508263587952,0,4853.91634145749,0,-0.0413558818872843,0,-131.895530566573,0,27.0779679578855,0,-0.203598403160868,0,-124.536330687813,0
77,7.69999999999999e-05,1804.43004789948,0,4475.97205816209,0,47.3474717140198,0,125.181345313787,0,4599.71324968064,0,-0.0394754699852911,0,-125.134430417791,0,25.4707566709121,0,-0.190475527130729,0,-116.295786027797,0
78,7.79999999999999e-05,1720.67251813412,0,4248.86858722568,0,-58.2405123710632,0,106.607938632369,0,4366.77771841339,0,-0.0377258912847083,0,-117.189735934138,0,24.0116618939667,0,-0.177071332423111,0,-108.106724879704,0
79,7.89999999999999e-05,1704.27742224932,0,4123.79071553051,0,3360.56590509415,0,664.720778390765,0,4152.58216672943,0,-0.0354868410474865,0,-55.5032697208226,0,22.6816266977022,0,-0.126383687446832,0,-84.9830901976675,0
80,7.99999999999999e-05,1611.53940044343,0,3901.04088243842,0,1969.73755645752,0,413.824991643429,0,3955.11013017574,0,-0.0342013482611492,0,-70.035386769101,0,21.4659800440342,0,-0.131467689818237,0,-85.2680773735046,0
81,8.09999999999999e-05,1510.64803372324,0,3676.34220553935,0,-42.8540334701538,0,88.6427614092827,0,3772.55168484416,0,-0.0331332693233435,0,-94.6326970160007,0,20.3512190329869,0,-0.14257558832287,0,-87.4191990159452,0
82,8.19999999999999e-05,1400.7367541343,0,3444.33893984556,0,-3105.0595293045,0,-445.079550638795,0,3603.30147072067,0,-0.0323559007833865,0,-136.015249980614,0,19.3257287679293,0,-0.168840948632351,0,-97.2968542319722,0
83,8.29999999999999e-05,1293.8410230726,0,3224.77222804725,0,-6048.94363212585,0,-921.754684403539,0,3446.06881491902,0,-0.0316492408924205,0,-175.573708280921,0,18.3800844523601,0,-0.192008377164711,0,-105.028746807948,0
84,8.39999999999999e-05,1340.63703148067,0,3220.06740412116,0,-44.9198365211487,0,66.6415769532323,0,3299.7639573055,0,-0.0293993880566177,0,-78.1937418151647,0,17.5060457586431,0,-0.117458534163234,0,-72.2795014129952,0
85,8.49999999999999e-05,1288.49559815228,0,3085.02277639508,0,-190.913005828857,0,36.5976422950625,0,3163.35904168514,0,-0.0283353062114884,0,-75.7314215265214,0,16.6969387575643,0,-0.112123859881649,0,-68.8122584419325,0
86,8.59999999999999e-05,1270.65046693385,0,3000.21815998852,0,1469.92502832413,0,287.14921683073,0,3035.88624548614,0,-0.0270044758309496,0,-46.1758248955011,0,15.9456865524896,0,-0.0885942878430797,0,-58.2826686119661,0
87,8.69999999999999e-05,1220.75681193173,0,2877.07391156256,0,1156.28934717178,0,236.320873506367,0,2916.5739775285,0,-0.026094479575022,0,-47.1300270156935,0,15.247022020385,0,-0.0857999516347263,0,-55.8219353966415,0
88,8.79999999999998e-05,1200.83209823072,0,2796.99619296193,0,2389.6782412529,0,417.461226925254,0,2804.70771733404,0,-0.0249521274828339,0,-24.9790978794917,0,14.5958755528534,0,-0.0679759192253186,0,-47.7600695374422,0
89,8.89999999999998e-05,1157.05968025327,0,2688.9899815619,0,2123.77561330795,0,370.521452128887,0,2699.64843828199,0,-0.0241393283051821,0,-25.7850641096011,0,13.9879750172127,0,-0.0658719778421073,0,-45.8995971200056,0
90,8.99999999999998e-05,1117.25570565462,0,2589.43578973413,0,1965.09988594055,0,340.942481294274,0,2600.82749702344,0,-0.0233537422545851,0,-25.2043392835185,0,13.4193899733591,0,-0.063001482690197,0,-43.8006834690459,0
91,9.09999999999998e-05,1041.120916605,0,2445.75503911078,0,-376.843651771545,0,-10.5515146702528,0,2507.73221744086,0,-0.0230260063572132,0,-57.4098079791293,0,12.8867392797682,0,-0.0820190602889852,0,-50.1309636859223,0
92,9.19999999999998e-05,1011.96689744294,0,2366.02680283785,0,-112.458457946777,0,30.7072181254625,0,2419.9081607413,0,-0.0222441692990287,0,-50.8730270611122,0,12.3868042606911,0,-0.0750662553655275,0,-46.3689892399125,0
93,9.29999999999998e-05,981.088389456272,0,2286.4598345235,0,-64.5863647460938,0,36.4560856893659,0,2336.95702103282,0,-0.0215421323412102,0,-47.7151768673211,0,11.9170198901315,0,-0.0708017949600617,0,-43.8453803258017,0
94,9.39999999999998e-05,952.522586837411,0,2212.41762460023,0,35.2298283576965,0,51.0229299366474,0,2258.5404999036,0,-0.020866915157967,0,-43.9933737060055,0,11.4751008916086,0,-0.0662228603896438,0,-41.2114158463664,0
95,9.49999999999998e-05,923.579625874758,0,2139.87966993451,0,26.8680090904236,0,48.473242379725,0,2184.25908250619,0,-0.0202431551715563,0,-41.9524941239506,0,11.0584887682594,0,-0.0630322409137989,0,-39.2376626515761,0
96,9.59999999999998e-05,896.767694711685,0,2071.77247243375,0,34.3194808959961,0,46.9402155503631,0,2113.87542751939,0,-0.0196460041702267,0,-39.8870310578495,0,10.6655555449567,0,-0.0600012759173296,0,-37.3955266545527,0
97,9.69999999999998e-05,870.955568686128,0,2006.69634074718,0,36.486976146698,0,45.3774435073137,0,2047.04253777455,0,-0.0190755477761968,0,-37.9948539603502,0,10.2941217816316,0,-0.0571675913874969,0,-35.6603099135682,0
98,9.79999999999998e-05,856.344098955393,0,1957.54504502565,0,573.325184345245,0,113.82489259541,0,1983.55978631013,0,-0.0184312081667031,0,-28.3422904536128,0,9.94282437723868,0,-0.0498805422116675,0,-32.5437655323185,0
99,9.89999999999998e-05,822.918101608753,0,1886.72394390404,0,62.9389567375183,0,46.3734744414687,0,1923.18576675883,0,-0.0180141132028666,0,-34.2269826345146,0,9.61016710334832,0,-0.0517941432544831,0,-32.4122513881885,0
100,9.99999999999998e-05,797.95141479373,0,1827.4192860052,0,-100.832032680511,0,19.5947563350201,0,1865.7207448461,0,-0.0175517751877123,0,-35.0302394926548,0,9.2948278281355,0,-0.0511734887968487,0,-31.7168994341046,0
101,0.000101,778.440318882465,0,1776.79454670846,0,27.1751718521118,0,37.8296843990684,0,1810.98216068039,0,-0.0170548360476914,0,-31.7777866311371,0,8.99563659899258,0,-0.0476901744086717,0,-29.8140329178423,0
102,0.000102,757.629912391305,0,1725.53591673076,0,9.94853544235229,0,33.7251396477222,0,1758.77724201076,0,-0.0166051103615246,0,-30.660821150057,0,8.71140582705904,0,-0.0458321322594202,0,-28.6399623067118,0
103,0.000103,736.997094944119,0,1676.12466697395,0,-30.1911869049072,0,26.7978367954493,0,1708.95293040461,0,-0.016183010046575,0,-29.9613139396533,0,8.44115841052485,0,-0.044297622304839,0,-27.6071529237088,0
104,0.000104,718.97446668148,0,1630.58232419938,0,8.96041917800903,0,31.1923026405275,0,1661.36973580337,0,-0.0157582024859266,0,-28.1953963562846,0,8.18400978641286,0,-0.042109400735626,0,-26.3405651769135,0
105,0.000105,699.490909948945,0,1584.57840912044,0,-69.4447011947632,0,18.7857428602874,0,1615.85141286673,0,-0.0153770903699524,0,-28.1605783244595,0,7.93890262482943,0,-0.0411580201925972,0,-25.5940411502961,0
106,0.000106,693.973023489118,0,1556.83327465504,0,585.363843917847,0,102.422770541161,0,1572.32450644576,0,-0.0148653192313759,0,-17.732620133087,0,7.70531238610897,0,-0.0339213031561485,0,-22.6940506563988,0
107,0.000107,665.985082119703,0,1502.4202798456,0,-22.7757277488709,0,23.7046211622655,0,1530.65293118212,0,-0.0146209296716506,0,-25.4250808656216,0,7.48246898346637,0,-0.0375607583764577,0,-23.4591941037215,0
108,0.000108,650.790893167257,0,1464.2917316407,0,17.0017013549805,0,28.3075645491481,0,1490.71775050934,0,-0.0142584130863952,0,-23.9029151108116,0,7.26960087916128,0,-0.0357438777259631,0,-22.4192850640975,0
109,0.000109,634.227195382118,0,1425.77518018335,0,-37.0301423072815,0,19.9842795543373,0,1452.42129157597,0,-0.0139330276439296,0,-23.7533554024994,0,7.06612992330908,0,-0.0348802139615145,0,-21.768582781544,0
110,0.00011,631.024714872241,0,1403.93374166638,0,586.422390460968,0,97.1521325372159,0,1415.69590500382,0,-0.0134799683755773,0,-14.0533500732854,0,6.87160038152438,0,-0.0284079842217579,0,-19.2806808194146,0
111,0.000111,603.879611849785,0,1353.92446572334,0,-109.536455631256,0,8.68297895789146,0,1380.40182220476,0,-0.0133076300149924,0,-23.0790415545926,0,6.68525904212074,0,-0.0330004273598661,0,-20.4445820585825,0
112,0.000112,592.281884536147,0,1323.41821680218,0,14.5819773674011,0,24.6834137886763,0,1346.47104610075,0,-0.0129787362872094,0,-20.5719621712342,0,6.50663262726384,0,-0.0307162920275914,0,-19.2972245872952,0
113,0.000113,576.845645301044,0,1289.01788468659,0,-105.245669841766,0,8.00961052253842,0,1313.86061265651,0,-0.0127127282964921,0,-21.4973547253758,0,6.33546734041009,0,-0.0306721895713054,0,-19.0069783141371,0
114,0.000114,566.244846843183,0,1261.02182111144,0,20.9331164360046,0,24.1259372122586,0,1282.4978692733,0,-0.0124046490340106,0,-19.0484295785427,0,6.17131497147413,0,-0.0284990545476376,0,-17.9318463187665,0
115,0.000115,553.180005788803,0,1230.78912385553,0,-17.8270606994629,0,18.2181248776615,0,1252.37957048184,0,-0.0121429883496376,0,-18.9143950701691,0,6.01412150609118,0,-0.0278516949194909,0,-17.4483197478112,0
116,0.000116,552.690887995064,0,1215.92981986701,0,586.711016654968,0,90.4508858658373,0,1223.33956424874,0,-0.0117557863416096,0,-9.81646379688755,0,5.86295236603586,0,-0.0220687209468906,0,-15.3446017748211,0
117,0.000117,528.929522164166,0,1174.00052630156,0,-66.3959488868713,0,10.7466906793416,0,1195.34032162041,0,-0.0116381875619709,0,-18.3372394223697,0,5.71762164021535,0,-0.0264046416689325,0,-16.4402784535196,0
118,0.000118,519.279724553227,0,1149.3923303932,0,17.546412229538,0,21.1028695292771,0,1168.33444644098,0,-0.0113762297529547,0,-16.6063610897399,0,5.57779622720242,0,-0.0248118256311045,0,-15.6335312009323,0
119,0.000119,508.350281380117,0,1123.86629094929,0,16.5008053779602,0,20.4546972028911,0,1142.30627232496,0,-0.0111412898096432,0,-16.069416416809,0,5.44338070572725,0,-0.0239948677469783,0,-15.122158496175,0
120,0.00012,497.954100564122,0,1099.30337904394,0,16.1917464733124,0,19.8574551492929,0,1117.20176127738,0,-0.0109129954759055,0,-15.547328685876,0,5.31405879888456,0,-0.0232116722677347,0,-14.6338542057201,0
121,0.000121,488.017061538994,0,1075.51539683342,0,11.3991158008575,0,18.5777778923512,0,1092.9737812948,0,-0.0106911867148938,0,-15.1055145282298,0,5.18955888764734,0,-0.0225068483589439,0,-14.1871082009748,0
122,0.000122,478.336449459195,0,1052.67342919111,0,15.4958517551422,0,18.653803948313,0,1069.55274795177,0,-0.010476385265406,0,-14.5702429744415,0,5.06949503982631,0,-0.0217500816665961,0,-13.722917387262,0
123,0.000123,467.650861702859,0,1029.14146048576,0,-49.5251495838165,0,10.0466173700988,0,1046.90301816974,0,-0.010284100755598,0,-14.99438375514,0,4.95366042587221,0,-0.0216048027311899,0,-13.4864124087617,0
124,0.000124,458.220251820982,0,1007.39485494792,0,-63.7040505409241,0,7.92551944032311,0,1025.00639381301,0,-0.0100864921234916,0,-14.7470979164355,0,4.8419338369987,0,-0.0210573585559359,0,-13.1108596292324,0
125,0.000125,449.831581011415,0,987.197579316795,0,-38.6951370239258,0,10.5485419407487,0,1003.82847203994,0,-0.00988634667987753,0,-13.981429385487,0,4.7341178270652,0,-0.0202237823546056,0,-12.6492406351026,0
126,0.000126,440.848098568618,0,966.706323489547,0,-58.3804979324341,0,7.81562777236104,0,983.337197796569,0,-0.00970218419695357,0,-13.8448175662197,0,4.63003003583856,0,-0.0197740955688914,0,-12.3215449370909,0
127,0.000127,422.747002102435,0,935.961899094284,0,-566.318397283554,0,-50.1529869772494,0,963.499391260959,0,-0.00962686691502768,0,-20.4272492565215,0,4.52949207468651,0,-0.0230024102029347,0,-13.0652657852042,0
128,0.000128,425.805469587445,0,929.983625635505,0,12.6649622917175,0,15.6696307323873,0,944.307498025647,0,-0.00932551665152914,0,-12.1204359144904,0,4.43241022612435,0,-0.0180658964238773,0,-11.4178749939892,0
129,0.000129,409.046398699284,0,901.645902752876,0,-443.916555166245,0,-36.3983663655818,0,925.706673927094,0,-0.00925242228481693,0,-18.0038521825336,0,4.33853898247829,0,-0.0209565623742947,0,-12.0891256602481,0
130,0.00013,410.217141270638,0,894.045481204987,0,9.2736451625824,0,14.5043989382684,0,907.698432796121,0,-0.00898783737238773,0,-11.4680801914074,0,4.24782382124571,0,-0.017054684929235,0,-10.7783550655004,0
131,0.000131,402.803363189101,0,876.998308084905,0,12.3145890235901,0,14.5881653428078,0,890.24596271898,0,-0.00882580088830309,0,-11.1000019707717,0,4.16009513859884,0,-0.0165381784922829,0,-10.461006620666,0
132,0.000132,395.604261152446,0,860.397207982838,0,11.827606678009,0,14.1962255015969,0,873.319062852494,0,-0.00866849021247162,0,-10.7904242346995,0,4.07517640669093,0,-0.0160720667595342,0,-10.1684032089543,0
133,0.000133,388.019871227443,0,843.552688546479,0,-23.1703412532806,0,9.71981047466397,0,856.887902403935,0,-0.00852257778933563,0,-10.9569362332113,0,3.99290513888356,0,-0.0158945379105262,0,-9.97608153661713,0
134,0.000134,381.980768054724,0,828.652071043849,0,11.0735950469971,0,13.4096449613571,0,840.945012050386,0,-0.00836496162435196,0,-10.2024258458987,0,3.91322956659953,0,-0.015192362749076,0,-9.61705370317213,0
135,0.000135,370.578637048602,0,808.112411655486,0,-231.121501922607,0,-13.6258416958153,0,825.449175436618,0,-0.00827360143375699,0,-13.2007690467872,0,3.83593949264326,0,-0.0165429899577703,0,-9.85872585466132,0
136,0.000136,368.89364670217,0,798.703871108592,0,10.5042283535004,0,12.7518288306892,0,810.416804976684,0,-0.00807989727309177,0,-9.65918212756515,0,3.7610882494768,0,-0.0143769199489725,0,-9.10481899103615,0
137,0.000137,362.569778673351,0,784.303668282926,0,6.64362645149231,0,12.004400357604,0,795.814164713951,0,-0.00794386441327788,0,-9.4495926280506,0,3.68851335765338,0,-0.0140207540175652,0,-8.87320009781979,0
138,0.000138,356.489448487759,0,770.460005886853,0,10.3498425483704,0,12.2172306030989,0,781.628427214472,0,-0.00781043912854784,0,-9.15032007591799,0,3.6181354774856,0,-0.0136169111178788,0,-8.62769975524861,0
139,0.000139,350.569034479558,0,756.923962049186,0,10.1028125286102,0,11.924450840801,0,767.834726591614,0,-0.0076806656345525,0,-8.91153670568019,0,3.54982178967101,0,-0.0132594226236051,0,-8.40304706408642,0
140,0.00014,344.864959701896,0,743.742912337184,0,8.8854660987854,0,11.4877216834575,0,754.42087279641,0,-0.00755365882275783,0,-8.69338365225121,0,3.48350331087791,0,-0.0129235299284574,0,-8.19025406753644,0
141,0.000141,339.198860131204,0,730.956239297986,0,9.74093341827393,0,11.3770344369113,0,741.376467657172,0,-0.00743103445176985,0,-8.45791030721739,0,3.41912032702356,0,-0.0125816870665858,0,-7.9771779209841,0
142,0.000142,334.541528865695,0,719.364932999015,0,48.127185344696,0,15.1001252159476,0,728.680927220576,0,-0.0073022504701612,0,-7.72206536959857,0,3.3565623026081,0,-0.011997388708096,0,-7.71064181509428,0
143,0.000143,327.953213348985,0,705.835421800613,0,-15.3131721019745,0,8.07970876432955,0,716.31895716604,0,-0.00719926128238058,0,-8.36296850349754,0,3.29574950064089,0,-0.0121346885596267,0,-7.63753127027303,0
144,0.000144,323.201278999448,0,694.545883193612,0,9.2063946723938,0,10.6192487850785,0,704.288770084013,0,-0.00707989172258294,0,-7.83538081031293,0,3.2366621791382,0,-0.0116517007409129,0,-7.39232088939752,0
145,0.000145,318.174149423838,0,682.991402253509,0,6.49005436897278,0,10.0554670505226,0,692.570746860649,0,-0.00696828591878784,0,-7.67341625830159,0,3.17919955232724,0,-0.0113829089534647,0,-7.21822404698469,0
146,0.000146,314.094739049673,0,672.774499900639,0,51.2797183990479,0,14.4855142328888,0,681.145695850742,0,-0.00685014309487997,0,-6.88421168969944,0,3.12326000969142,0,-0.0107968176766917,0,-6.96516333403997,0
