Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
54,0.027,0,0,2.2427079326358e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85875093446123e-07,0,9.19898577177593e-12,0,2063.60159386249,0,2.33129636187899e-05,0,399998.180371614,0
55,0.0275,0,0,2.2415169508485e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85404324322195e-07,0,9.36332323566525e-12,0,2064.69791263744,0,2.33005831961304e-05,0,399998.152159716,0
56,0.028,0,0,2.24033065411281e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84935406358597e-07,0,9.52739469722921e-12,0,2065.79107796615,0,2.32882514748814e-05,0,399998.124139584,0
57,0.0285,0,0,2.23914710715846e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84467574588199e-07,0,9.69146565126267e-12,0,2066.88286390712,0,2.32759483376385e-05,0,399998.096219673,0
58,0.029,0,0,2.23796833038143e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84001627635827e-07,0,9.85525403392687e-12,0,2067.97139778747,0,2.32636947867042e-05,0,399998.068495143,0
59,0.0295,0,0,2.23679292633566e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83537013123766e-07,0,1.0018951521296e-11,0,2069.05795982873,0,2.32514762954319e-05,0,399998.040899999,0
60,0.03,0,0,2.23562243184873e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83074338534932e-07,0,1.01823416791365e-11,0,2070.14111928462,0,2.32393088393639e-05,0,399998.01350622,0
61,0.0305,0,0,2.23445575006999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82613170310166e-07,0,1.03455748370367e-11,0,2071.22188013533,0,2.32271810165849e-05,0,399997.986262129,0
62,0.031,0,0,2.23329310123134e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82153595507602e-07,0,1.05086178902845e-11,0,2072.30002877948,0,2.32150951164389e-05,0,399997.959177739,0
63,0.0315,0,0,2.23213436866271e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.816955680142e-07,0,1.06714848281888e-11,0,2073.37566363622,0,2.32030499261262e-05,0,399997.93224759,0
64,0.032,0,0,2.23097972601348e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81239156475286e-07,0,1.08341488495467e-11,0,2074.44861369663,0,2.31910472507589e-05,0,399997.905479511,0
65,0.0325,0,0,2.22982928723199e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80784405937734e-07,0,1.09965913543975e-11,0,2075.51876284755,0,2.31790882748489e-05,0,399997.878878513,0
66,0.033,0,0,2.22868287717275e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80331247174206e-07,0,1.11588345278962e-11,0,2076.5862638471,0,2.31671711777362e-05,0,399997.852436271,0
67,0.0335,0,0,2.22754020366754e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79879564699498e-07,0,1.13209173810596e-11,0,2077.65137925491,0,2.31552929222922e-05,0,399997.826139013,0
68,0.034,0,0,2.22640037305594e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79429005265963e-07,0,1.14829648662918e-11,0,2078.71493421286,0,2.31434442187902e-05,0,399997.799945679,0
69,0.0345,0,0,2.22526542001991e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78980373159782e-07,0,1.16446855175685e-11,0,2079.77502105197,0,2.31316462180444e-05,0,399997.773949473,0
70,0.035,0,0,2.2241329578014e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78532724931143e-07,0,1.18064171265683e-11,0,2080.83385992722,0,2.31198741093622e-05,0,399997.748040875,0
