Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),aluminum
195312887955.464,16375.4441779424,16375.4441779424,16375.4441779424,8.42434318455562e-06,2.29920754610659e-09,8.96690942981571e-09,0.0014,2,0,200000000016438
195312887955.464,16375.4441779432,16375.4441779432,16375.4441779432,8.42434318455637e-06,2.2992075461069e-09,8.96690942981692e-09,0.0014,2,0,200000000016465
195312887955.464,16375.4441779389,16375.4441779389,16375.4441779389,8.42434318455199e-06,2.29920754610511e-09,8.96690942980993e-09,0.0014,2,0,200000000016309
195312887955.464,16375.444177945,16375.444177945,16375.444177945,8.42434318455828e-06,2.29920754610768e-09,8.96690942981997e-09,0.0014,2,0,200000000016533
195312887955.464,16375.4441779356,16375.4441779356,16375.4441779356,8.42434318454862e-06,2.29920754610373e-09,8.96690942980455e-09,0.0014,2,0,200000000016189
195312887955.464,16375.4441779383,16375.4441779383,16375.4441779383,8.42434318455135e-06,2.29920754610485e-09,8.9669094298089e-09,0.0014,2,0,200000000016286
195312887955.464,16375.4441779346,16375.4441779346,16375.4441779346,8.42434318454753e-06,2.29920754610328e-09,8.9669094298028e-09,0.0014,2,0,200000000016150
195312887955.464,16375.4441779411,16375.4441779411,16375.4441779411,8.42434318455427e-06,2.29920754610604e-09,8.96690942981356e-09,0.0014,2,0,200000000016390
195312887955.464,16375.4441779338,16375.4441779338,16375.4441779338,8.42434318454677e-06,2.29920754610297e-09,8.96690942980159e-09,0.0014,2,0,200000000016123
195312887955.464,16375.444177931,16375.444177931,16375.444177931,8.42434318454388e-06,2.29920754610179e-09,8.96690942979697e-09,0.0014,2,0,200000000016020
195312887955.464,16375.4441779323,16375.4441779323,16375.4441779323,8.42434318454519e-06,2.29920754610233e-09,8.96690942979908e-09,0.0014,2,0,200000000016067
195312887955.464,16375.4441779309,16375.4441779309,16375.4441779309,8.42434318454377e-06,2.29920754610174e-09,8.96690942979679e-09,0.0014,2,0,200000000016016
195312887955.464,16375.4441779285,16375.4441779285,16375.4441779285,8.42434318454129e-06,2.29920754610073e-09,8.96690942979284e-09,0.0014,2,0,200000000015928
195312887955.464,16375.4441779328,16375.4441779328,16375.4441779328,8.4243431845457e-06,2.29920754610253e-09,8.96690942979988e-09,0.0014,2,0,200000000016085
195312887955.464,16375.4441779249,16375.4441779249,16375.4441779249,8.42434318453761e-06,2.29920754609922e-09,8.96690942978697e-09,0.0014,2,0,200000000015797
195312887955.464,16375.4441779276,16375.4441779276,16375.4441779276,8.42434318454034e-06,2.29920754610034e-09,8.96690942979132e-09,0.0014,2,0,200000000015894
195312887955.464,16375.4441779226,16375.4441779226,16375.4441779226,8.4243431845352e-06,2.29920754609824e-09,8.96690942978312e-09,0.0014,2,0,200000000015711
195312887955.464,16375.4441779277,16375.4441779277,16375.4441779277,8.42434318454048e-06,2.2992075461004e-09,8.96690942979154e-09,0.0014,2,0,200000000015899
195312887955.464,16375.4441779304,16375.4441779304,16375.4441779304,8.42434318454317e-06,2.2992075461015e-09,8.96690942979585e-09,0.0014,2,0,200000000015995
195312887955.464,16375.4441779234,16375.4441779234,16375.4441779234,8.42434318453607e-06,2.29920754609859e-09,8.96690942978451e-09,0.0014,2,0,200000000015742
195312887955.464,16375.4441779224,16375.4441779224,16375.4441779224,8.424343184535e-06,2.29920754609815e-09,8.9669094297828e-09,0.0014,2,0,200000000015704
195312887955.464,16375.444177925,16375.444177925,16375.444177925,8.42434318453764e-06,2.29920754609924e-09,8.96690942978702e-09,0.0014,2,0,200000000015798
195312887955.464,16375.4441779187,16375.4441779187,16375.4441779187,8.42434318453121e-06,2.2992075460966e-09,8.96690942977675e-09,0.0014,2,0,200000000015569
195312887955.464,16375.4441779221,16375.4441779221,16375.4441779221,8.42434318453467e-06,2.29920754609802e-09,8.96690942978226e-09,0.0014,2,0,200000000015692
195312887955.464,16375.4441779204,16375.4441779204,16375.4441779204,8.42434318453295e-06,2.29920754609731e-09,8.96690942977953e-09,0.0014,2,0,200000000015631
195312887955.464,16375.4441779216,16375.4441779216,16375.4441779216,8.42434318453413e-06,2.2992075460978e-09,8.96690942978141e-09,0.0014,2,0,200000000015673
