Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
73,0.00730000000000001,6.01092318430614e-12,0,1.66071352272124e-05,0,1.65635608415275e-09,0,4.78921334445507e-07,0,8.51713866076476e-11,0,1.89470593767396e-13,0,0,0,3.21097312685011e-13,0,0,0,1.95714075240765e-06,0,2746.82150085631,0,1.90449453630274e-05,0,434955.51755067,0
74,0.00740000000000001,6.07793981911477e-12,0,1.65927733964313e-05,0,1.66423005345821e-09,0,4.80598002733022e-07,0,8.50008059523726e-11,0,1.88016090492909e-13,0,0,0,3.22262368983584e-13,0,0,0,1.9604226565168e-06,0,2747.69095632214,0,1.90355498747588e-05,0,434878.549100639,0
75,0.00750000000000001,6.16136733052834e-12,0,1.65784141697793e-05,0,1.67641401503549e-09,0,4.82276780042653e-07,0,8.50475482241986e-11,0,1.87528785865422e-13,0,0,0,3.25087611294327e-13,0,0,0,1.96370025285521e-06,0,2748.55926852758,0,1.90261593382241e-05,0,434801.377115397,0
76,0.00760000000000001,6.24317625543006e-12,0,1.65641060564878e-05,0,1.68796447968473e-09,0,4.83951824026377e-07,0,8.50603131130185e-11,0,1.86894946584714e-13,0,0,0,3.27652078739858e-13,0,0,0,1.96696499855617e-06,0,2749.42394072882,0,1.90168026615864e-05,0,434724.268039594,0
77,0.00770000000000001,6.33753982147428e-12,0,1.65497562376573e-05,0,1.70268961797541e-09,0,4.85636253866606e-07,0,8.52253249498364e-11,0,1.86931222608385e-13,0,0,0,3.31460730428359e-13,0,0,0,1.97023600292888e-06,0,2750.29006712098,0,1.90074232653275e-05,0,434646.734709464,0
78,0.00780000000000001,6.41441091562049e-12,0,1.65354084012276e-05,0,1.7124468290182e-09,0,4.87317005236535e-07,0,8.51380636853944e-11,0,1.85856563839815e-13,0,0,0,3.33286152583819e-13,0,0,0,1.97350793674225e-06,0,2751.1564123467,0,1.89980378616527e-05,0,434568.963440628,0
79,0.00790000000000001,6.49045420404861e-12,0,1.65210992740824e-05,0,1.72187033601227e-09,0,4.89011041917466e-07,0,8.50322337308885e-11,0,1.84717564635644e-13,0,0,0,3.35021618261008e-13,0,0,0,1.97676771357877e-06,0,2752.01878986292,0,1.89886919423417e-05,0,434491.334002175,0
80,0.00800000000000001,6.59631736589641e-12,0,1.65067243312642e-05,0,1.73891536334655e-09,0,4.90709939898939e-07,0,8.5295851469092e-11,0,1.85179387799363e-13,0,0,0,3.39696323160016e-13,0,0,0,1.98003799458447e-06,0,2752.8841934403,0,1.89793035981555e-05,0,434413.077007927,0
81,0.00810000000000001,6.6563600509124e-12,0,1.64923984842486e-05,0,1.74369668665237e-09,0,4.9240780100218e-07,0,8.49558282253899e-11,0,1.83032044891456e-13,0,0,0,3.39578096372328e-13,0,0,0,1.98330096127442e-06,0,2753.74707599035,0,1.89699430780103e-05,0,434334.924337718,0
82,0.00820000000000001,6.75928454813428e-12,0,1.64779993433044e-05,0,1.75946782771422e-09,0,4.94106304525003e-07,0,8.51456938275094e-11,0,1.83170883060778e-13,0,0,0,3.43709879982364e-13,0,0,0,1.98657500363943e-06,0,2754.6135135707,0,1.89605325511557e-05,0,434256.052484215,0
